t_s,mem_util_pct,gpu_util_pct,bandwidth_gbps,phase
11.333643522986677,60,53,535.56,util_50
11.355065173993353,60,53,535.56,util_50
11.376236829994014,60,53,535.56,util_50
11.397261246980634,60,53,535.56,util_50
11.41854240099201,60,53,535.56,util_50
11.440127648995258,60,53,535.56,util_50
11.461583088996122,60,53,535.56,util_50
11.482368957978906,60,53,535.56,util_50
11.503191270981915,60,53,535.56,util_50
11.524362009979086,60,53,535.56,util_50
11.545251673000166,59,50,526.63,util_50
11.566235261998372,59,50,526.63,util_50
11.587214220984606,59,50,526.63,util_50
11.60811707098037,59,50,526.63,util_50
11.629062807973241,59,50,526.63,util_50
11.65077939099865,59,50,526.63,util_50
11.6722801339929,59,50,526.63,util_50
11.694438566977624,59,50,526.63,util_50
11.715921791997971,59,50,526.63,util_50
11.736898233997636,59,50,526.63,util_50
11.757703532988671,59,50,526.63,util_50
11.778731618978782,59,50,526.63,util_50
11.79958403299679,59,50,526.63,util_50
11.82044530598796,59,50,526.63,util_50
11.841276779974578,59,50,526.63,util_50
11.862243758980185,59,50,526.63,util_50
11.88312969598337,59,50,526.63,util_50
11.904159695986891,59,50,526.63,util_50
11.925897721986985,59,50,526.63,util_50
11.946738558996003,59,51,526.63,util_50
11.967790705995867,59,51,526.63,util_50
11.988698388973717,59,51,526.63,util_50
12.009614426991902,59,51,526.63,util_50
12.030632647976745,59,51,526.63,util_50
12.051547175971791,59,51,526.63,util_50
12.072483650990762,59,51,526.63,util_50
12.093547375989147,59,51,526.63,util_50
12.11486127099488,59,51,526.63,util_50
12.138261795975268,59,49,526.63,util_50
12.159304378990782,59,49,526.63,util_50
12.180369814974256,59,49,526.63,util_50
12.201386928994907,59,49,526.63,util_50
12.222292194986949,59,49,526.63,util_50
12.243229475978296,59,49,526.63,util_50
12.264644042996224,59,49,526.63,util_50
12.285689142998308,59,49,526.63,util_50
12.306687027972657,59,49,526.63,util_50
12.327660549985012,59,49,526.63,util_50
12.349080854997737,59,50,526.63,util_50
12.370256828988204,59,50,526.63,util_50
12.3912545129715,59,50,526.63,util_50
12.412209812988294,59,50,526.63,util_50
12.433369477977976,59,50,526.63,util_50
12.454324473976158,59,50,526.63,util_50
12.475271460978547,59,50,526.63,util_50
12.496375536982669,59,50,526.63,util_50
12.517501867987448,59,50,526.63,util_50
12.540781835996313,59,50,526.63,util_50
12.561720464989776,59,50,526.63,util_50
12.582640765991528,59,50,526.63,util_50
12.603598527988652,59,50,526.63,util_50
12.624585591984214,59,50,526.63,util_50
12.645530967973173,59,50,526.63,util_50
12.666559620993212,59,50,526.63,util_50
12.687470758974086,59,50,526.63,util_50
12.708475042978534,59,50,526.63,util_50
12.729427769983886,59,50,526.63,util_50
12.750336087978212,59,50,526.63,util_50
12.77133704899461,59,50,526.63,util_50
12.792344051995315,59,50,526.63,util_50
12.813156505988445,59,50,526.63,util_50
12.833945294987643,59,50,526.63,util_50
12.854629357985687,59,50,526.63,util_50
12.875282204971882,59,50,526.63,util_50
12.896029203984654,59,50,526.63,util_50
12.916860890982207,59,50,526.63,util_50
12.937724801973673,59,50,526.63,util_50
12.958565551991342,59,49,526.63,util_50
12.979799931985326,59,49,526.63,util_50
13.001080733985873,59,49,526.63,util_50
13.02225791697856,59,49,526.63,util_50
13.043755320977652,59,49,526.63,util_50
13.064823951979633,59,49,526.63,util_50
13.085864184977254,59,49,526.63,util_50
13.107621592993382,59,49,526.63,util_50
13.128676628984977,59,49,526.63,util_50
13.149439639993943,59,50,526.63,util_50
13.170351179986028,59,50,526.63,util_50
13.191252348973649,59,50,526.63,util_50
13.212156438996317,59,50,526.63,util_50
13.232925591990352,59,50,526.63,util_50
13.253802995983278,59,50,526.63,util_50
13.274710508994758,59,50,526.63,util_50
13.295774607977364,59,50,526.63,util_50
13.317350858997088,59,50,526.63,util_50
13.33824467699742,59,50,526.63,util_50
13.359634131978964,59,50,526.63,util_50
13.380578198994044,59,50,526.63,util_50
13.40146255097352,59,50,526.63,util_50
13.422585960972356,59,50,526.63,util_50
13.443829953990644,59,50,526.63,util_50
13.464921837992733,59,50,526.63,util_50
13.486141536996001,59,50,526.63,util_50
13.507002868980635,59,50,526.63,util_50
13.527752802998293,59,50,526.63,util_50
13.548366460978286,59,50,526.63,util_50
13.569252368994057,59,50,526.63,util_50
13.59036167798331,59,50,526.63,util_50
13.611378019995755,59,50,526.63,util_50
13.63333510098164,59,50,526.63,util_50
13.654190490982728,59,50,526.63,util_50
13.675163723994046,59,50,526.63,util_50
13.696136756974738,59,50,526.63,util_50
13.717019340983825,59,50,526.63,util_50
13.73803165499703,59,50,526.63,util_50
13.758805660996586,59,49,526.63,util_50
13.77971866299049,59,49,526.63,util_50
13.800600340997335,59,49,526.63,util_50
13.821390059980331,59,49,526.63,util_50
13.84224803498364,59,49,526.63,util_50
13.863053532986669,59,49,526.63,util_50
13.883999934972962,59,49,526.63,util_50
13.904865058982978,59,49,526.63,util_50
13.926094979979098,59,49,526.63,util_50
13.950271390000125,59,51,526.63,util_50
13.97113983699819,59,51,526.63,util_50
